2024-01-01, 001, Nguyen Van A, 5, 100000.0
2024-01-10, 002, Nguyen Van B, 3, 200000.0
2024-01-15, 003, Nguyen Van C, 8, 120000.0
2024-02-03, 004, Nguyen Van D, 7, 150000.0
2024-02-18, 005, Nguyen Van E, 10, 200000.0
2024-03-05, 006, Nguyen Thi F, 5, 90000.0
2024-03-21, 007, Le Minh G, 4, 180000.0
2024-04-10, 008, Hoang Thi H, 6, 135000.0
2024-04-15, 009, Vu Thanh I, 2, 95000.0
2024-05-11, 010, Tran Thi J, 9, 210000.0
2024-05-25, 011, Nguyen Thanh K, 5, 100000.0
2024-06-02, 012, Ho Thi L, 3, 120000.0
2024-06-12, 013, Le Thi M, 7, 175000.0
2024-07-03, 014, Hoang Minh N, 8, 160000.0
2024-07-09, 015, Le Thanh O, 4, 110000.0
2024-08-02, 016, Nguyen Minh P, 6, 145000.0
2024-08-20, 017, Hoang Thi Q, 10, 250000.0
2024-09-07, 018, Nguyen Thi R, 3, 115000.0
2024-09-13, 019, Le Thi S, 9, 210000.0
2024-10-01, 020, Tran Thi T, 2, 90000.0
2024-10-18, 021, Ho Thi U, 6, 140000.0
2024-11-15, 022, Nguyen Thi V, 10, 150000.0
2024-11-20, 023, Le Thi W, 5, 110000.0
2024-12-01, 024, Nguyen Thi X, 8, 200000.0
2024-12-05, 025, Hoang Minh Y, 6, 180000.0
2024-12-10, 026, Le Thanh Z, 7, 150000.0

